_id,asin,packSize,price,ref1,ref1PackSize,ref1Price,ref1Reviews,ref2,ref2PackSize,ref2Price,ref2Reviews,ref3,ref3PackSize,ref3Price,ref3Reviews,reviews
"""610d69a76b5dbb840c6e157f""",B07GDRHSRS,1,$18.22,B0725VDNX4,1,$16.37,232,B00BEZJLPK,12,$26.49,388,,,,,
"""610d69a76b5dbb840c6e158a""",B07PJV5MVG,1,$11.22,B07QLQZVFL,12,$10.28,256,,,,,,,,,
"""610d69a76b5dbb840c6e15b6""",B01MZC15UG,1,$14.99,B016EDJKJI,1,$10.99,584,B074V33SLK,1,$29.99,47,,,,,
"""610d69a76b5dbb840c6e1600""",B01NBWN410,1,$24.99,B00MX6732C,,$16.89,"2,374",B07D4FDKBW,10,$16.99,916,,,,,
"""610d69a76b5dbb840c6e160b""",B07Q1R743X,1,,B01KW20GOU,1,$12.60,620,,,,,,,,,
"""610d69a76b5dbb840c6e1617""",B07PZN8Z44,1,,B01LYTBLDU,1,$13.39,258,B07QKJJ8Y4,1,$13.68,114,,,,,
"""610d69a76b5dbb840c6e1623""",B07PHPSDRV,1,$11.22,B075VWPLVQ,12,$9.49,"3,715",,,,,,,,,
"""610d69a76b5dbb840c6e162e""",B01MYAGI3F,1,$19.99,B0789HWSX2,10,$12.74,"12,871",B085WTRJV2,10,$14.99,330,B0789HWSX2,10,$12.74,"12,871",
"""610d69a76b5dbb840c6e1638""",B07GDS15KG,1,$10.19,B083XKVG1G,3535,$16.99,145,B07KCK1M45,2,$22.99,511,B01LZ2K1TT,2,$20.03,65,
"""610d69a76b5dbb840c6e1647""",B07PD5BVW4,1,$31.49,B089NCXK8Q,25,$42.99,469,B01N5M29L7,25,$31.24,542,B01K5TAT56,25,$31.24,184,
"""610d69a76b5dbb840c6e1654""",B01MS9NV9T,1,$11.59,B0069745AY,1,$6.99,933,B0842X4851,523813,$21.89,538,,,,,
"""610d69a76b5dbb840c6e1660""",B01N4Q95VS,1,$22.39,B071ZB885Z,10,$17.59,"12,871",B01N7IKBRA,10,$41.25,17,B01N7IKBRA,10,$41.25,17,
"""610d69a76b5dbb840c6e1696""",B01MTB9RGG,1,$11.59,B01KXMWWM8,1,$11.97,"9,407",B01NALM4IQ,1,$6.99,245,,,,,
"""610d69a76b5dbb840c6e16db""",B079L9X9L4,1,$31.99,B00084JMC0,1,$26.96,296,B001EHVESU,1,$29.91,"3,572",B00I12J5FA,1,$69.99,329,
"""610d69a76b5dbb840c6e16e6""",B01MR892ED,1,$18.49,B07Z32RK2P,12,$16.99,"15,724",0,,,,,,,,
"""610d69a76b5dbb840c6e16f2""",B07P8MJZDS,1,$25.83,B083GN33XX,96,$31.99,54,0,,,,,,,,
"""610d69a86b5dbb840c6e1706""",B07VM9T6Q1,1,,B07RSQ9HGJ,6,$59.99,412,,,,,,,,,
"""610d69a86b5dbb840c6e1720""",B01N24KOZ6,1,$11.59,B00BYG8N3A,1,$11.52,600,B07QB4NP7Z,,$15.19,243,B00NQJ04MG,63291,,283,
"""610d69a86b5dbb840c6e1735""",B01MZC13JY,1,$27.61,B0757QFC7Z,1,$41.51,284,B009ZGCNFK,25,$47.50,25,B00BJCQQF6,1,$39.95,46,
"""610d69a86b5dbb840c6e174f""",B07765Z6S4,1,$11.33,B002YGCUK6,1,$13.37,"2,060",B004EBTRK0,1,$12.90,97,,,,,
"""610d69a86b5dbb840c6e1764""",B07T4J9MP4,,$14.55,B01N67GAGC,1,$17.99,"4,016",,,,,,,,,
"""610d69a86b5dbb840c6e1775""",B01MZC15J5,1,$21.19,B07MP2GV48,1,$26.99,305,B07GJW33NH,1,$49.99,293,,,,,
"""610d69a86b5dbb840c6e1781""",B01MTB9SIM,1,$11.59,B01G8BWPCU,1,$6.16,"9,407",B07THBY7ZH,515105,$17.89,"1,555",,,,,
"""610d69a86b5dbb840c6e178e""",B01NBWHCD6,1,$20.18,B07S67DLLS,10,$24.88,"1,889",B00KWANYO2,10,$32.95,295,,,,,
"""610d69a86b5dbb840c6e1798""",B079LD8CRV,1,$21.99,B0012QFGPA,1,$11.89,"1,358",B0053H4XPS,1,$24.66,185,B001BJR2WS,,$16.89,67,
"""610d69a86b5dbb840c6e17a4""",B077626HSW,1,$35.74,B00O5AGQFE,1,$60.32,337,B07TT55NPH,,$45.99,274,,,,,
"""610d69a86b5dbb840c6e17b0""",B01N5RJMJB,1,$47.49,B078H1751B,5,$37.57,"6,886",B008970V50,25,$70.69,40,B08S3BRS2X,25,$19.99,23,
